"Legalcase ID","First Name","Middle Name","Last Name",Company,"Job Title","Home Street","Home Street 2","Home City","Home State","Home Postal Code","Home Country/Region","Home Fax","Work Phone","Home Phone","Mobile Phone","Contact Group","E-mail Address","Web Page","Outstanding Trust Balance","Login Enabled",Archived,Birthday,"Private Notes","License Number","License State","Welcome Message",:Notes,Cases,"Case Link IDs","Created Date"
11172,Client1,m,test,,," ",,,,,,,,,,Unassigned,testing.testuser6+112@gmail.com,,0,FALSE,FALSE,,,,,,,sdf,607D4AE48AA7D,09/30/2020,
11187,"Contact 6M",N,NAM,finally1,," ",,,,,,,,,,"Contact Group",kashyap.dave+123@plutustec.com,,0,FALSE,FALSE,,,,,,,Hello,60081C2E97B5E,10/06/2020,
11197,TEST,test,test,"My Company List","Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with you","Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with you ","Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with you","Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with you","Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with you","Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with you",Austria,131313,12331232,231232,213123,Unassigned,teast@mail.com,"Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instr",0,FALSE,FALSE,,"Securely share documents Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with your client. They will receive a welco","Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with you","Securely share documents"," invoices"," and messages with your client. They will receive a welcome email with login instructions. Your client will only have access to items that you explicitly share.  Securely share documents"," invoices"," and messages with you",,,,,10/14/2020,
11224,Contact2,mn,name,,," ",,,,,,,,123123123,,Unassigned,contacr42@mail.com,,0,TRUE,FALSE,,,,,,,,,01/06/2021,
11225,Contact2,mn,name,"My Company List",," ",,,,,,,,123123123,,Unassigned,contacr42@mail.coma,,0,TRUE,FALSE,,,,,,,,,01/06/2021,
11226,Contact2,mn,name,,," ",,,,,,,,123123123,,Unassigned,contacr42@mail.com23,,0,TRUE,FALSE,,,,,,,,,01/06/2021,
11227,Contact2,mn,name,,," ",,,,,,,,123123123,,Unassigned,contacr42@mail.com24,,0,TRUE,FALSE,,,,,,,,,01/06/2021,
11233,today,,Test1,"My Company List",," ",,,,,,,,,,Unassigned,test@gmail.com,,0,FALSE,FALSE,,,,,,,Febtest,602623CC82C46,01/20/2021,
11235,yesterday,,Test1,,," ",,,,,,,,,,Unassigned,test@yahoo.in,,0,FALSE,FALSE,,,,,,,yesterday,6007FB9DBF8FD,01/20/2021,
11238,today,,Test1,,," ",,,,,,,,,,Unassigned,test8@yahoo.in,,0,FALSE,FALSE,,,,,,,,,01/20/2021,
11239,now,,mm,,," ",,,,,,,,,,Unassigned,now@gmail.com,,0,FALSE,FALSE,,,,,,,,,01/21/2021,
11242,"child user",,ch,,," ",,,,,,,,,,Unassigned,child1@gmail.com,,0,FALSE,FALSE,,,,,,,Hello,60081C2E97B5E,01/21/2021,
11252,febtest,,tests,,," ",,,,,,,,,,Unassigned,febst@gmail.com,,0,FALSE,FALSE,,,,,,,now,602CEC8093F9F,02/12/2021,
11253,febtest,,tests,,," ",,,,,,,,,,Unassigned,febst@gmail.in,,0,TRUE,FALSE,,,,,,,,,02/12/2021,
