"Legalcase ID","First Name","Middle Name","Last Name",Company,"Job Title","Home Street","Home Street 2","Home City","Home State","Home Postal Code","Home Country/Region","Home Fax","Work Phone","Home Phone","Mobile Phone","Contact Group","E-mail Address","Web Page","Outstanding Trust Balance","Login Enabled",Archived,Birthday,"Private Notes","License Number","License State","Welcome Message",:Notes,Cases,"Case Link IDs","Created Date"
11232,Contact1,m,mm,"[""zzX---""","""123""]",,"Street 12/34",address2,City,State,000000,,,,9876543210,Unassigned,testing.testuser6+0909@gmail.com,'-',0,FALSE,FALSE,,,,,,,12312dasdasd,6046034146447,09/29/2020,
11233,cLIENT2,MM,MMMMAASD,"[""New Company""]",," ",,,,,,,,9876543210,Unassigned,CLIENT@2wMAILC.M,'-',0,TRUE,FALSE,,,,,,,12312dasdasd,6046034146447,09/29/2020,
11234,ASD,ASDAS,asdas,"[""csdasd""","""New Company""","""sadasdas""]",," ",,,,,,,,9876543210,Unassigned,asd2.asdasd.2@asd.as22,'-',0,FALSE,FALSE,,,,,,,lasjlkasjdkllkj,604609EC2F016,09/29/2020,
11235,C;iet4,j,kk,"[""csdasd""","""New Company""]",,"Street 55/45",,"City name",,,Armenia,,,9876543210,Unassigned,testing.testuser6+1@gmail.com223,'-',0,TRUE,FALSE,,,,,,,asdsq,6045EFEFCD22F,09/29/2020,
11236,jkjads,jjjh,jjj,[],," ",,,,,Armenia,,,9876543210,Unassigned,jjjks@asdasd.asdjkasjkh,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11237,co98,ooo,oooo,"[""New Company""]",," ",,,,,Armenia,,,9876543210,Unassigned,ooo@lllap.sss,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11238,asdasda,as,asdasd,[],," ",,,,,Armenia,,,9876543210,Unassigned,asdsdas@asd.asdas2,'-',0,FALSE,FALSE,,,,,,,CASE-Zero-0,6024F3DEC85AA,09/29/2020,
11239,assa,asdas,das,[],," ",,,,,Armenia,,,9876543210,Unassigned,asd@asdas.d.asd,'-',0,FALSE,FALSE,,,,,,,"Last case",5F7322E949D9A,09/29/2020,
11240,asdsd,asdasd,asdasd,[],," ",,,,,Armenia,,,,Unassigned,dasda@asd.as.ds2,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11241,asdasd,asda,sds,[],," ",,,,,Armenia,,,9876543210,Unassigned,asdas@asdas.d.as,'-',0,FALSE,FALSE,,,,,,,test2222,5FF43DC50D372,09/29/2020,
11242,testt,twtst,twtsttst,[],," ",,,,,Armenia,,,9876543210,Unassigned,tdtWa@as.d.asd,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11243,ZXZkj,hkj,jkkh,[],," ",,,,,Armenia,,,9876543210,Unassigned,khjk@asd.a.s,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11244,asdas,asd,asdas,[],," ",,,,,Armenia,,,9876543210,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11245,AS,aS,as,[],," ",,,,,Armenia,,,9876543210,Unassigned,aS2as@DA.2,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11246,ZXZ,,ZZZZ,[],," ",,,,,Armenia,,,9876543210,Unassigned,XZw@s.ss,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11247,sadasd,asdas,as,[],," ",,,,,Armenia,,,9876543210,Unassigned,asdas@asdas.d.asdas,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11248,asjd,ka,jads,[],," ",,,,,Armenia,,,9876543210,Unassigned,bja@adkas.asj,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11249,asd,asd,as,[],," ",,,,,Armenia,,,9876543210,"Group 2",asdas@asdas.assdasdasd2,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11250,asdasd,asdas,ass,[],," ",,,,,Armenia,,,9876543210,Unassigned,adas@asd2asd.as.sadsa,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11251,da,asdasdasd,asdas,[],," ",,,,,Armenia,,,9876543210,Unassigned,dasdas2as@d.as,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11252,hellp,sj,kk,[],," ",,,,,Armenia,,,9876543210,"Group 2",hello@mail.com,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11253,cdh,hdhsh,hhdshhhsh,[],," ",,,,,Armenia,,,9876543210,"Goup 1",hh@as.d.asdas,'-',0,FALSE,FALSE,,,,,,,,,09/29/2020,
11265,test,,assd,[],,"89jhddhj ",9kjhkjasgdhhjk,gjagsbhdghj,ghjhaskjdhkjh,kjhjkashdjkh,Iceland,78978989789789,7979798879797,9876543210,Unassigned,123sasdasd@2Asdas.2aa11,'-',0,TRUE,FALSE,,sasd,12312312,asd,,,"Potential Case: test assd",5FA91A593B66E,11/02/2020,
11262,asdas,,asdsa,[],," ",,,,,Iceland,,,9876543210,Unassigned,asdas@asd.as11,'-',0,FALSE,FALSE,,,,,,,"Potential Case: asdas asdsa",5FA91B1F8165B,11/02/2020,
